"(1, 4)",515.2928289028647
"(1, 20)",594.0203289358873
"(1, 10)",183.7101743577926
"(1, 17)",466.0046511276026
"(1, 21)",435.6467464337626
"(1, 25)",352.5936618750082
"(1, 26)",407.14960334172497
"(4, 1)",1.0
"(4, 20)",594.0203289358873
"(4, 10)",183.7101743577926
"(4, 17)",466.0046511276026
"(4, 21)",435.6467464337626
"(4, 25)",352.5936618750082
"(4, 26)",407.14960334172497
"(20, 1)",242.93666047983808
"(20, 4)",341.9728108173076
"(20, 10)",545.7096948390393
"(20, 17)",563.1914258790903
"(20, 21)",526.0850408023445
"(20, 25)",408.662022983522
"(20, 26)",445.26213104914723
"(10, 1)",667.4602082124231
"(10, 4)",1.0
"(10, 20)",0
"(10, 17)",298.4114567195795
"(10, 21)",435.6467464337626
"(10, 25)",263.7281089982091
"(10, 26)",396.59172320447595
"(17, 1)",242.93666047983808
"(17, 4)",341.9728108173076
"(17, 20)",1.0
"(17, 10)",545.7096948390393
"(17, 21)",526.0850408023445
"(17, 25)",408.662022983522
"(17, 26)",445.26213104914723
"(21, 1)",242.93666047983808
"(21, 4)",341.9728108173076
"(21, 20)",1.0
"(21, 10)",545.7096948390393
"(21, 17)",563.1914258790903
"(21, 25)",408.662022983522
"(21, 26)",445.26213104914723
"(25, 1)",613.2011996172968
"(25, 4)",719.5834266526864
"(25, 20)",771.7496497261407
"(25, 10)",1.0
"(25, 17)",732.1040000007861
"(25, 21)",451.7123149414542
"(25, 26)",453.44338563957706
"(26, 1)",613.2011996172968
"(26, 4)",719.5834266526864
"(26, 20)",771.7496497261407
"(26, 10)",1.0
"(26, 17)",732.1040000007861
"(26, 21)",451.7123149414542
"(26, 25)",185.4723263570402
