"(1, 4)",713.1626833588806
"(1, 10)",545.2104849820142
"(1, 17)",461.74551266450584
"(1, 20)",216.68319223680209
"(1, 21)",422.52228563686907
"(1, 25)",422.52228563686907
"(1, 26)",422.52228563686907
"(4, 1)",0.0
"(4, 10)",545.2104849820142
"(4, 17)",461.74551266450584
"(4, 20)",216.68319223680209
"(4, 21)",422.52228563686907
"(4, 25)",422.52228563686907
"(4, 26)",422.52228563686907
"(10, 1)",573.7698581716024
"(10, 4)",0.0
"(10, 17)",465.1624289079911
"(10, 20)",0.0
"(10, 21)",422.52228563686907
"(10, 25)",422.52228563686907
"(10, 26)",422.52228563686907
"(17, 1)",467.23817207309565
"(17, 4)",458.9362717026308
"(17, 10)",0.0
"(17, 20)",585.0003746787769
"(17, 21)",346.89320005548365
"(17, 25)",306.89320005548365
"(17, 26)",422.52228563686907
"(20, 1)",467.23817207309565
"(20, 4)",458.9362717026308
"(20, 10)",0.0
"(20, 17)",461.74551266450584
"(20, 21)",346.89320005548365
"(20, 25)",306.89320005548365
"(20, 26)",422.52228563686907
"(21, 1)",467.23817207309565
"(21, 4)",458.9362717026308
"(21, 10)",0.0
"(21, 17)",461.74551266450584
"(21, 20)",585.0003746787769
"(21, 25)",306.89320005548365
"(21, 26)",422.52228563686907
"(25, 1)",373.27813450459763
"(25, 4)",395.78395611922764
"(25, 10)",272.6854340430096
"(25, 17)",0.0
"(25, 20)",373.27813450459763
"(25, 21)",509.2094890015358
"(25, 26)",460.3187329377918
"(26, 1)",373.27813450459763
"(26, 4)",395.78395611922764
"(26, 10)",272.6854340430096
"(26, 17)",0.0
"(26, 20)",373.27813450459763
"(26, 21)",509.2094890015358
"(26, 25)",35.373486509368774
