~	Tail	Head	Volume	;
	6	9	349.8538468877616	;
	6	7	2.2540337246333135	;
	6	20	350.52715605645164	;
	9	14	288.6421014336624	;
	9	6	350.94068304644225	;
	9	10	247.19625131935516	;
	14	17	344.65717218406957	;
	14	15	125.18624714167964	;
	14	9	53.409947708124314	;
	14	13	217.14074735105413	;
	17	18	217.06070097461506	;
	17	15	0.1581597843943529	;
	17	16	1.1226299125232388	;
	17	14	270.39253527478456	;
	18	19	45.58675114672807	;
	18	25	196.33984557587613	;
	18	16	0.0	;
	18	17	53.409947708124314	;
	19	28	81.70134552853771	;
	19	27	45.58675114672807	;
	19	18	53.409947708124314	;
	7	6	0.5502241967670533	;
	7	10	378.05703655381063	;
	7	5	373.3149390270245	;
	7	8	101.84454284042197	;
	10	7	372.81977935715446	;
	10	13	225.67592879531514	;
	10	9	483.51524120357374	;
	10	11	185.40816772849615	;
	21	12	216.81263876519967	;
	21	23	156.50956664043593	;
	21	22	0.0	;
	12	11	216.81263876519967	;
	12	22	0.0	;
	12	13	0.0	;
	12	21	435.40412461463114	;
	23	25	156.50956664043593	;
	23	22	0.0	;
	23	21	217.4666771608353	;
	23	24	0.0	;
	25	23	216.81263876519967	;
	25	18	24.865895747989274	;
	25	24	0.0	;
	25	28	0.0	;
	3	2	0.0	;
	3	1	257.25359497711855	;
	3	5	11.048356591276818	;
	2	1	72.78880788112268	;
	2	3	108.68465834304618	;
	2	4	153.572156618748	;
	4	5	232.19845016185897	;
	4	8	388.1747781617929	;
	4	2	181.47346622416885	;
	5	4	70.47726800289031	;
	5	7	370.41903494172396	;
	5	20	253.07789892556843	;
	5	3	148.5689366340723	;
	13	10	0.0	;
	13	12	261.61535825428234	;
	13	14	181.20131789208722	;
	15	14	0.1581597843943529	;
	15	16	114.80492163744549	;
	15	17	10.381325504234162	;
	11	10	262.585983437579	;
	11	8	347.59148310346956	;
	11	12	173.7887663603492	;
	22	12	0.0	;
	22	23	0.0	;
	22	21	0.0	;
	1	3	11.048356591276818	;
	1	20	230.4734436793737	;
	1	2	153.572156618748	;
	16	17	0.0	;
	16	24	115.92755154996877	;
	16	18	0.0	;
	16	15	0.0	;
	28	25	81.70134552853771	;
	28	19	0.0	;
	20	5	225.9813927240943	;
	20	1	1.9942139145513076	;
	20	6	351.14412942563746	;
	24	25	115.27351315433303	;
	24	16	0.0	;
	24	23	0.6540383956357066	;
	8	7	108.27389459451283	;
	8	4	347.59148310346956	;
	8	11	381.7454264077018	;
	27	26	45.58675114672807	;
	27	19	135.11129323666214	;
	26	27	135.11129323666214	;
